SMILES;cas.index.name;cas.rn;Parameter;Value
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-nitrophenyl)-;3056711-61-3;IC50;11.71 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-nitrophenyl)-;3056711-61-3;IC50;18.18 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-nitrophenyl)-;3056711-61-3;IC50;23.06 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc([N+](=O)[O-])cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-(4-nitrophenyl)-;3056711-61-3;IC50;31.66 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(C(F)(F)F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[4-(trifluoromethyl)phenyl]-;3056711-63-5;IC50;3.36 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(C(F)(F)F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[4-(trifluoromethyl)phenyl]-;3056711-63-5;IC50;10.62 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(C(F)(F)F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[4-(trifluoromethyl)phenyl]-;3056711-63-5;IC50;11.98 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2ccc(C(F)(F)F)cc2)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-[4-(trifluoromethyl)phenyl]-;3056711-63-5;IC50;23.73 µM
Oc1c(Cl)cc(Cl)c2cccnc12;8-Quinolinol, 5,7-dichloro-;773-76-2;IC50;50.03 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc3ccccc23)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-2-naphthalenyl-;3056711-65-7;IC50;1.8 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc3ccccc23)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-2-naphthalenyl-;3056711-65-7;IC50;4.22 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc3ccccc23)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-2-naphthalenyl-;3056711-65-7;IC50;9.38 µM
CC(c1ccc(-c2ccccc2)c(F)c1)c1nnc(NC(=O)Nc2cccc3ccccc23)s1;Urea, N-[5-[1-(2-fluoro[1,1′-biphenyl]-4-yl)ethyl]-1,3,4-thiadiazol-2-yl]-N′-2-naphthalenyl-;3056711-65-7;IC50;96.58 µM
O=[N+]([O-])c1ccc(O)c2ncccc12;8-Quinolinol, 5-nitro-;4008-48-4;IC50;2.84 µM
